,Ann_Return_%,Ann_Volatility_%,Sharpe,Sortino,Calmar,Max_Drawdown_%,Daily_VaR_95_%,Daily_CVaR_95_%,Daily_VaR_99_%,Daily_CVaR_99_%,Skewness,Excess_Kurtosis
MVP,13.266345036381018,13.05724261209314,0.518206273514002,0.695985269954083,0.5084329417720965,-26.092615065700475,1.1505262666382081,1.774368492081234,1.8432811482540719,3.156062905520601,-0.25001285573917564,17.64179321983224
MSP (Unconstrained),20.129076214076107,15.661175842938679,0.8702460371276142,1.1394893604394096,0.5788329976820268,-34.775274206350126,1.3837497686672215,2.1633750100990126,2.3960425187182652,3.8530421375287593,-0.28240348894195827,19.282600530765716
MSP (Constrained 15%),19.9053665427988,15.537138529186608,0.8627950711526925,1.1016366192691112,0.5626966571535921,-35.37495076564048,1.349433644644353,2.1791579801227363,2.366832444345775,3.9215289554696655,-0.45397181969464506,19.69339833910263
