,Final_Value_(₹100_start),Ann_Return_%,Ann_Volatility_%,Sharpe,Max_Drawdown_%,Total_Txn_Cost_(₹)
MVP - Rebalanced,330.73715139176744,13.055640722935635,13.024212530932274,0.5033425788596512,-25.980059410203417,1.1132003868579228
MSP (Unconstrained) - Rebalanced,626.1174280817863,19.942482063209702,15.612842243162635,0.8609887843513307,-34.540693568021204,1.592223497581537
MSP (Constrained) - Rebalanced,611.3923835639798,19.68066871741907,15.482979005719697,0.8513005612518036,-35.19382585258045,1.605967300412733
MSP (Constrained) - Buy & Hold,509.67589066030047,17.916129121003138,16.07817322067388,0.7100389431259441,-35.95046009666111,0.0
