Strategy,Expected_Return_%,Expected_Sharpe,Historical_Return_%,Historical_Sharpe,Max_Drawdown_%,Backtest_Return_%,Backtest_Sharpe
MVP,13.266345036381017,0.5182062735140017,13.266345036381018,0.518206273514002,-26.092615065700475,13.055640722935635,0.5033425788596512
MSP (Unconstrained),20.129076214076107,0.8702460371276143,20.129076214076107,0.8702460371276142,-34.775274206350126,19.942482063209702,0.8609887843513307
MSP (Constrained 15%),19.905366542798802,0.8627950711526925,19.9053665427988,0.8627950711526925,-35.37495076564048,19.68066871741907,0.8513005612518036
