,Ann_Return_%,Ann_Volatility_%,Sharpe,Sortino,Calmar,Max_Drawdown_%,Daily_VaR_95_%,Daily_CVaR_95_%,Daily_VaR_99_%,Daily_CVaR_99_%,Skewness,Excess_Kurtosis
MVP,13.266342595593242,13.057241593983058,0.5182061269901951,0.6959851007057609,0.5084329796025124,-26.09260832364716,1.1505267486029582,1.7743684693522401,1.8432806335034697,3.156061958549192,-0.2500132116897028,17.641767772162343
MSP (Unconstrained),20.129076275002138,15.66117471348954,0.870246103778085,1.1394894997772107,0.5788331995682882,-34.775262182637476,1.3837449132116424,2.1633746024906433,2.3960469326371485,3.8530425434597477,-0.2824026959342234,19.282571384712387
MSP (Constrained 15%),19.90536622704353,15.537137452482117,0.862795110620713,1.1016366752135334,0.5626967736080432,-35.3749428833743,1.3494327988061967,2.17915768320103,2.3668263958725033,3.9215296296173032,-0.4539711547636072,19.693373692578465
