,Final_Value_(₹100_start),Ann_Return_%,Ann_Volatility_%,Sharpe,Max_Drawdown_%,Total_Txn_Cost_(₹)
MVP - Rebalanced,330.73707176011,13.05563815794624,13.024211704780802,0.5033424138475773,-25.98005290532849,1.113199800265051
MSP (Unconstrained) - Rebalanced,626.1174479956713,19.94248219225396,15.612841043742943,0.860988858760028,-34.540680497804466,1.5922235117279246
MSP (Constrained) - Rebalanced,611.3923748194118,19.680668390657512,15.482977884432463,0.8513006017989708,-35.193817425671824,1.605967353341532
MSP (Constrained) - Buy & Hold,509.67589445134143,17.91612908144243,16.078172578784855,0.7100389690123123,-35.95045148416538,0.0
